symbol_lower,symbol,chrom,start,stop
a1bg,A1BG,chr19,58856544,58864865
acf,ACF,chr10,52559169,52645435
asp,ASP,chr10,52559169,52645435
acf64,ACF64,chr10,52559169,52645435
acf65,ACF65,chr10,52559169,52645435
apobec1cf,APOBEC1CF,chr10,52559169,52645435
a1cf,A1CF,chr10,52559169,52645435
fwp007,FWP007,chr12,9220260,9268825
s863-7,S863-7,chr12,9220260,9268825
cpamd5,CPAMD5,chr12,9220260,9268825
a2m,A2M,chr12,9220260,9268825
flj25179,FLJ25179,chr12,8975068,9039597
p170,p170,chr12,8975068,9039597
a2ml1,A2ML1,chr12,8975068,9039597
igbs3s,IGBS3S,chr1,33772367,33786699
igb3s,IGB3S,chr1,33772367,33786699
a3galt2,A3GALT2,chr1,33772367,33786699
a14galt,A14GALT,chr22,43088118,43117304
gb3s,Gb3S,chr22,43088118,43117304
p(k),P(k),chr22,43088118,43117304
a4galt,A4GALT,chr22,43088118,43117304
alpha4gnt,alpha4GnT,chr3,137842560,137851229
a4gnt,A4GNT,chr3,137842560,137851229
aaas,AAAS,chr12,53701240,53718648
flj12389,FLJ12389,chr12,125549925,125627879
sur-5,SUR-5,chr12,125549925,125627879
acsf1,ACSF1,chr12,125549925,125627879
aacs,AACS,chr12,125549925,125627879
dac,DAC,chr3,151531825,151546276
ces5a1,CES5A1,chr3,151531825,151546276
aadac,AADAC,chr3,151531825,151546276
mgc72001,MGC72001,chr3,151451704,151479127
aadacl2,AADACL2,chr3,151451704,151479127
otthumg00000001887,OTTHUMG00000001887,chr1,12776118,12788726
aadacl3,AADACL3,chr1,12776118,12788726
otthumg00000001889,OTTHUMG00000001889,chr1,12704566,12727097
aadacl4,AADACL4,chr1,12704566,12727097
katii,KATII,chr4,170981373,171012850
kat2,KAT2,chr4,170981373,171012850
kyat2,KYAT2,chr4,170981373,171012850
aadat,AADAT,chr4,170981373,171012850
flj11506,FLJ11506,chr15,67493371,67547533
p34,p34,chr15,67493371,67547533
aagab,AAGAB,chr15,67493371,67547533
kiaa1048,KIAA1048,chr2,69685129,69901481
dkfzp686k16132,DKFZp686K16132,chr2,69685129,69901481
aak1,AAK1,chr2,69685129,69901481
ptd015,PTD015,chr11,77532155,77629478
flj21035,FLJ21035,chr11,77532155,77629478
ck067,CK067,chr11,77532155,77629478
aamdc,AAMDC,chr11,77532155,77629478
aamp,AAMP,chr2,219128846,219134980
snat,SNAT,chr17,74449433,74466199
aanat,AANAT,chr17,74449433,74466199
ba234k24.2,bA234K24.2,chr20,34824381,34858840
aar2,AAR2,chr20,34824381,34858840
loc441376,LOC441376,chr8,117950438,117956726
aard,AARD,chr8,117950438,117956726
cmt2n,CMT2N,chr16,70286198,70323446
alars,AlaRS,chr16,70286198,70323446
aars1,AARS1,chr16,70286198,70323446
kiaa1270,KIAA1270,chr6,44267391,44281063
ba444e17.1,bA444E17.1,chr6,44267391,44281063
aars2,AARS2,chr6,44267391,44281063
mgc2744,MGC2744,chr17,41102543,41116515
aarsd1,AARSD1,chr17,41102543,41116515
nrps998,NRPS998,chr4,57204453,57253674
lys2,LYS2,chr4,57204453,57253674
acsf4,ACSF4,chr4,57204453,57253674
aasdh,AASDH,chr4,57204453,57253674
lys5,LYS5,chr11,105946228,105969437
cgi-80,CGI-80,chr11,105946228,105969437
aasd-ppt,AASD-PPT,chr11,105946228,105969437
acps,ACPS,chr11,105946228,105969437
aasdhppt,AASDHPPT,chr11,105946228,105969437
lorsdh,LORSDH,chr7,121715701,121784334
lkrsdh,LKRSDH,chr7,121715701,121784334
aass,AASS,chr7,121715701,121784334
ded,DED,chr17,35306175,35414171
che-1,CHE-1,chr17,35306175,35414171
che1,CHE1,chr17,35306175,35414171
bfr2,BFR2,chr17,35306175,35414171
aatf,AATF,chr17,35306175,35414171
aatyk,AATYK,chr17,79091095,79139877
kiaa0641,KIAA0641,chr17,79091095,79139877
lmtk1,LMTK1,chr17,79091095,79139877
lmr1,LMR1,chr17,79091095,79139877
aatyk1,AATYK1,chr17,79091095,79139877
ppp1r77,PPP1R77,chr17,79091095,79139877
aatk,AATK,chr17,79091095,79139877
gabat,GABAT,chr16,8768422,8878432
